selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,RefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,0描述,功能分类,卡位,通道,通道类型,引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,G21P170MSTA,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170MSTB,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170START,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170FDB,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170DEV01,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170DEV02,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170DEV03,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170DEV04,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P170DEV05,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172MSTA,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172MSTB,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172START,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172FDB,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172DEV01,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172DEV02,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172DEV03,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172DEV04,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,G21P172DEV05,GP,Gp,63,21,1,,,,,,0,,,,0,0x01,1,,,0x00,0x00,0x00,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
